# Shadowgain: XP cost tables extracted from client_portal.dat (0x0E000018).
# table	rank	totalXpToReach
trained	165	161701793
trained	166	174417913
trained	167	188135201
trained	168	202932500
trained	169	218894860
trained	170	236114028
trained	171	254688979
trained	172	274726480
trained	173	296341707
trained	174	319658907
trained	175	344812110
trained	176	371945902
trained	177	401216255
trained	178	432791424
trained	179	466852915
trained	180	503596527
trained	181	543233477
trained	182	585991620
trained	183	632116749
trained	184	681874018
trained	185	735549461
trained	186	793451636
trained	187	855913403
trained	188	923293832
trained	189	995980273
trained	190	1074390578
trained	191	1158975507
trained	192	1250221316
trained	193	1348652558
trained	194	1454835090
trained	195	1569379334
trained	196	1692943784
trained	197	1826238790
trained	198	1970030642
trained	199	2125145977
trained	200	2292476532
trained	201	2472984268
trained	202	2667706901
trained	203	2877763869
trained	204	3104362767
trained	205	3348806291
trained	206	3612499722
trained	207	3896959013
trained	208	4203819496
specialized	0	0
specialized	1	23
specialized	2	56
specialized	3	97
specialized	4	149
specialized	5	211
specialized	6	282
specialized	7	364
specialized	8	456
specialized	9	558
specialized	10	671
specialized	11	795
specialized	12	931
specialized	13	1077
specialized	14	1236
specialized	15	1406
specialized	16	1589
specialized	17	1784
specialized	18	1992
specialized	19	2214
specialized	20	2449
specialized	21	2699
specialized	22	2963
specialized	23	3243
specialized	24	3539
specialized	25	3850
specialized	26	4180
specialized	27	4527
specialized	28	4892
specialized	29	5277
specialized	30	5683
specialized	31	6109
specialized	32	6559
specialized	33	7031
specialized	34	7529
specialized	35	8052
specialized	36	8603
specialized	37	9183
specialized	38	9794
specialized	39	10437
specialized	40	11115
specialized	41	11829
specialized	42	12582
specialized	43	13376
specialized	44	14213
specialized	45	15098
specialized	46	16031
specialized	47	17018
specialized	48	18061
specialized	49	19165
specialized	50	20332
specialized	51	21569
specialized	52	22879
specialized	53	24267
specialized	54	25740
specialized	55	27304
specialized	56	28964
specialized	57	30728
specialized	58	32603
specialized	59	34597
specialized	60	36720
specialized	61	38981
specialized	62	41389
specialized	63	43956
specialized	64	46695
specialized	65	49616
specialized	66	52736
specialized	67	56067
specialized	68	59627
specialized	69	63433
specialized	70	67504
specialized	71	71859
specialized	72	76521
specialized	73	81513
specialized	74	86860
specialized	75	92590
specialized	76	98732
specialized	77	105319
specialized	78	112384
specialized	79	119965
specialized	80	128101
specialized	81	136836
specialized	82	146216
specialized	83	156291
specialized	84	167116
specialized	85	178749
specialized	86	191252
specialized	87	204694
specialized	88	219149
specialized	89	234694
specialized	90	251416
specialized	91	269407
specialized	92	288765
specialized	93	309599
specialized	94	332022
specialized	95	356161
specialized	96	382148
specialized	97	410131
specialized	98	440264
specialized	99	472717
specialized	100	507671
specialized	101	545324
specialized	102	585886
specialized	103	629586
specialized	104	676672
specialized	105	726408
specialized	106	777982
specialized	107	831204
specialized	108	886706
specialized	109	944149
specialized	110	1004623
specialized	111	1068144
specialized	112	1134867
specialized	113	1204278
specialized	114	1276904
specialized	115	1353312
specialized	116	1434114
specialized	117	1518971
specialized	118	1607595
specialized	119	1700755
specialized	120	1799280
specialized	121	1903065
specialized	122	2011073
specialized	123	2124346
specialized	124	2244006
specialized	125	2368266
specialized	126	2497430
specialized	127	2631909
specialized	128	2771224
specialized	129	2917013
specialized	130	3067048
specialized	131	3222235
specialized	132	3383635
specialized	133	3551467
specialized	134	3725130
specialized	135	3904206
specialized	136	4089485
specialized	137	4280974
specialized	138	4478917
specialized	139	4684816
specialized	140	4898446
specialized	141	5119881
specialized	142	5349513
specialized	143	5587084
specialized	144	5832707
specialized	145	6086897
specialized	146	6350606
specialized	147	6623252
specialized	148	6905759
specialized	149	7199598
specialized	150	7510827
specialized	151	7835138
specialized	152	8185908
specialized	153	8566254
specialized	154	8983087
specialized	155	9452180
specialized	156	9978231
specialized	157	10590938
specialized	158	11292080
specialized	159	12080597
specialized	160	12978687
specialized	161	13957900
specialized	162	14971249
specialized	163	16103320
specialized	164	17322402
specialized	165	18634617
specialized	166	20062065
specialized	167	21585981
specialized	168	23214900
specialized	169	24936844
specialized	170	26808511
specialized	171	28810492
specialized	172	30975492
specialized	173	33221583
specialized	174	35528463
specialized	175	38089744
specialized	176	40943261
specialized	177	43951402
specialized	178	47181470
specialized	179	50806066
specialized	180	54703511
specialized	181	59258291
specialized	182	64461548
specialized	183	70511600
specialized	184	77114508
specialized	185	84284685
specialized	186	92045555
specialized	187	100330262
specialized	188	109182433
specialized	189	118957009
specialized	190	129861131
specialized	191	141695103
specialized	192	154193427
specialized	193	167565923
specialized	194	183038936
specialized	195	200856634
specialized	196	221282414
specialized	197	244600416
specialized	198	271117157
specialized	199	301163291
specialized	200	336095513
specialized	201	374298608
specialized	202	418187661
specialized	203	466210448
specialized	204	520850007
specialized	205	581627417
specialized	206	648104789
specialized	207	721888505
specialized	208	802632699
specialized	209	890043017
specialized	210	984880677
specialized	211	1085966844
specialized	212	1196187351
specialized	213	1315497790
specialized	214	1443929007
specialized	215	1582593030
specialized	216	1730689458
specialized	217	1891512364
specialized	218	2064457725
specialized	219	2249031458
specialized	220	2449858070
specialized	221	2667631083
specialized	222	2902448781
specialized	223	3160874561
specialized	224	3440192563
specialized	225	3750444304
specialized	226	4100490438
attribute	0	0
attribute	1	110
attribute	2	277
attribute	3	501
attribute	4	784
attribute	5	1125
attribute	6	1527
attribute	7	1988
attribute	8	2511
attribute	9	3097
attribute	10	3746
attribute	11	4459
attribute	12	5238
attribute	13	6084
attribute	14	6998
attribute	15	7982
attribute	16	9038
attribute	17	10167
attribute	18	11372
attribute	19	12654
attribute	20	14015
attribute	21	15459
attribute	22	16988
attribute	23	18604
attribute	24	20311
attribute	25	22113
attribute	26	24012
attribute	27	26014
attribute	28	28122
attribute	29	30341
attribute	30	32676
attribute	31	35132
attribute	32	37716
attribute	33	40434
attribute	34	43293
attribute	35	46301
attribute	36	49465
attribute	37	52795
attribute	38	56300
attribute	39	59991
attribute	40	63878
attribute	41	67975
attribute	42	72295
attribute	43	76851
attribute	44	81659
attribute	45	86737
attribute	46	92102
attribute	47	97775
attribute	48	103775
attribute	49	110128
attribute	50	116858
attribute	51	123991
attribute	52	131559
attribute	53	139591
attribute	54	148124
attribute	55	157194
attribute	56	166843
attribute	57	177113
attribute	58	188053
attribute	59	199715
attribute	60	212153
attribute	61	225429
attribute	62	239609
attribute	63	254762
attribute	64	270967
attribute	65	288306
attribute	66	306870
attribute	67	326756
attribute	68	348070
attribute	69	370928
attribute	70	395453
attribute	71	421779
attribute	72	450054
attribute	73	480434
attribute	74	513091
attribute	75	548210
attribute	76	585992
attribute	77	626654
attribute	78	670432
attribute	79	717582
attribute	80	768378
attribute	81	823122
attribute	82	882136
attribute	83	945773
attribute	84	1014414
attribute	85	1088469
attribute	86	1168386
attribute	87	1254649
attribute	88	1347781
attribute	89	1448351
attribute	90	1556972
attribute	91	1674311
attribute	92	1801089
attribute	93	1938088
attribute	94	2086155
attribute	95	2246205
attribute	96	2419233
attribute	97	2606314
attribute	98	2808613
attribute	99	3027394
attribute	100	3264023
attribute	101	3519983
attribute	102	3796877
attribute	103	4096444
attribute	104	4420567
attribute	105	4771285
attribute	106	5150808
attribute	107	5561528
attribute	108	6006039
attribute	109	6487148
attribute	110	7007896
attribute	111	7571580
attribute	112	8181768
attribute	113	8842327
attribute	114	9557443
attribute	115	10331656
attribute	116	11169877
attribute	117	12077431
attribute	118	13060084
attribute	119	14124082
attribute	120	15276190
attribute	121	16523738
attribute	122	17874666
attribute	123	19337572
attribute	124	20921773
attribute	125	22637359
attribute	126	24495261
attribute	127	26507320
attribute	128	28686361
attribute	129	31046278
attribute	130	33602120
attribute	131	36370190
attribute	132	39368147
attribute	133	42615120
attribute	134	46131828
attribute	135	49940719
attribute	136	54066105
attribute	137	58534323
attribute	138	63373901
attribute	139	68615745
attribute	140	74293328
attribute	141	80442912
attribute	142	87103777
attribute	143	94318471
attribute	144	102133083
attribute	145	110597540
attribute	146	119765922
attribute	147	129696811
attribute	148	140453665
attribute	149	152105222
attribute	150	164725942
attribute	151	178396483
attribute	152	193204214
attribute	153	209243776
attribute	154	226617688
attribute	155	245437001
attribute	156	265822007
attribute	157	287903011
attribute	158	311821164
attribute	159	337729361
attribute	160	365793227
attribute	161	396192167
attribute	162	429120520
attribute	163	464788799
attribute	164	503425038
attribute	165	545276249
attribute	166	590610001
attribute	167	639716134
attribute	168	692908610
attribute	169	750527522
attribute	170	812941268
attribute	171	880548904
attribute	172	953782704
attribute	173	1033110914
attribute	174	1119040753
attribute	175	1212121655
attribute	176	1312948783
attribute	177	1422166831
attribute	178	1540474151
attribute	179	1668627219
attribute	180	1807445467
attribute	181	1957816530
attribute	182	2120701915
attribute	183	2297143157
attribute	184	2488268472
attribute	185	2695299977
attribute	186	2919561502
attribute	187	3162487055
attribute	188	3425629996
attribute	189	3710672964
attribute	190	4019438644
vital	0	0
vital	1	73
vital	2	183
vital	3	331
vital	4	517
vital	5	743
vital	6	1008
vital	7	1312
vital	8	1658
vital	9	2044
vital	10	2472
vital	11	2943
vital	12	3457
vital	13	4015
vital	14	4619
vital	15	5268
vital	16	5965
vital	17	6711
vital	18	7505
vital	19	8352
vital	20	9250
vital	21	10203
vital	22	11212
vital	23	12279
vital	24	13406
vital	25	14595
vital	26	15848
vital	27	17169
vital	28	18561
vital	29	20025
vital	30	21566
vital	31	23187
vital	32	24893
vital	33	26687
vital	34	28574
vital	35	30559
vital	36	32647
vital	37	34845
vital	38	37158
vital	39	39594
vital	40	42160
vital	41	44864
vital	42	47715
vital	43	50722
vital	44	53895
vital	45	57247
vital	46	60788
vital	47	64531
vital	48	68492
vital	49	72685
vital	50	77126
vital	51	81834
vital	52	86829
vital	53	92130
vital	54	97762
vital	55	103748
vital	56	110116
vital	57	116895
vital	58	124115
vital	59	131812
vital	60	140021
vital	61	148784
vital	62	158142
vital	63	168143
vital	64	178838
vital	65	190282
vital	66	202534
vital	67	215659
vital	68	229726
vital	69	244812
vital	70	260999
vital	71	278375
vital	72	297036
vital	73	317087
vital	74	338640
vital	75	361819
vital	76	386755
vital	77	413592
vital	78	442486
vital	79	473604
vital	80	507130
vital	81	543260
vital	82	582210
vital	83	624211
vital	84	669513
vital	85	718390
vital	86	771135
vital	87	828069
vital	88	889536
vital	89	955912
vital	90	1027602
vital	91	1105046
vital	92	1188719
vital	93	1279139
vital	94	1376862
vital	95	1482495
vital	96	1596694
vital	97	1720167
vital	98	1853685
vital	99	1998080
vital	100	2154256
vital	101	2323189
vital	102	2505939
vital	103	2703654
vital	104	2917575
vital	105	3149049
vital	106	3399533
vital	107	3670609
vital	108	3963986
vital	109	4281518
vital	110	4625212
vital	111	4997243
vital	112	5399967
vital	113	5835936
vital	114	6307913
vital	115	6818893
vital	116	7372119
vital	117	7971105
vital	118	8619656
vital	119	9321894
vital	120	10082286
vital	121	10905668
vital	122	11797280
vital	123	12762798
vital	124	13808370
vital	125	14940657
vital	126	16166873
vital	127	17494831
vital	128	18932998
vital	129	20490543
vital	130	22177399
vital	131	24004326
vital	132	25982977
vital	133	28125979
vital	134	30447007
vital	135	32960875
vital	136	35683629
vital	137	38632653
vital	138	41826775
vital	139	45286392
vital	140	49033597
vital	141	53092322
vital	142	57488493
vital	143	62250191
vital	144	67407835
vital	145	72994377
vital	146	79045509
vital	147	85599896
vital	148	92699419
vital	149	100389447
vital	150	108719122
vital	151	117741679
vital	152	127514781
vital	153	138100892
vital	154	149567674
vital	155	161988421
vital	156	175442525
vital	157	190015988
vital	158	205801968
vital	159	222901379
vital	160	241423530
vital	161	261486830
vital	162	283219543
vital	163	306760608
vital	164	332260525
vital	165	359882324
vital	166	389802601
vital	167	422212649
vital	168	457319683
vital	169	495348165
vital	170	536541237
vital	171	581162277
vital	172	629496585
vital	173	681853203
vital	174	738566897
vital	175	800000293
vital	176	866546197
vital	177	938630108
vital	178	1016712940
vital	179	1101293965
vital	180	1192914009
vital	181	1292158910
vital	182	1399663264
vital	183	1516114484
vital	184	1642257192
vital	185	1778897985
vital	186	1926910591
vital	187	2087241457
vital	188	2260915797
vital	189	2449044157
vital	190	2652829505
vital	191	2873574933
vital	192	3112691986
vital	193	3371709687
vital	194	3652284316
vital	195	3956210003
vital	196	4285430197
level	0	0
level	1	0
level	2	1000
level	3	2777
level	4	5697
level	5	10248
level	6	17031
level	7	26784
level	8	40391
level	9	58895
level	10	83511
level	11	115645
level	12	156898
level	13	209088
level	14	274259
level	15	354692
level	16	452925
level	17	571762
level	18	714286
level	19	883872
level	20	1084206
level	21	1319289
level	22	1593459
level	23	1911400
level	24	2278153
level	25	2699136
level	26	3180153
level	27	3727407
level	28	4347513
level	29	5047517
level	30	5834900
level	31	6717600
level	32	7704021
level	33	8803044
level	34	10024047
level	35	11376914
level	36	12872048
level	37	14520384
level	38	16333408
level	39	18323161
level	40	20502261
level	41	22883912
level	42	25481915
level	43	28310688
level	44	31385275
level	45	34721359
level	46	38335275
level	47	42244029
level	48	46465302
level	49	51017472
level	50	55919623
level	51	61191556
level	52	66853809
level	53	72927666
level	54	79435170
level	55	86399136
level	56	93843170
level	57	101791673
level	58	110269863
level	59	119303784
level	60	128920317
level	61	139147200
level	62	150013037
level	63	161547311
level	64	173780397
level	65	186743581
level	66	200469064
level	67	214989984
level	68	230340425
level	69	246555428
level	70	263671011
level	71	281724178
level	72	300752932
level	73	320796288
level	74	341894292
level	75	364088025
level	76	387419625
level	77	411932296
level	78	437670319
level	79	464679072
level	80	493005039
level	81	522695823
level	82	553800159
level	83	586367933
level	84	620450186
level	85	656099136
level	86	693368187
level	87	732311940
level	88	772986213
level	89	815448050
level	90	859755734
level	91	905968800
level	92	954148054
level	93	1004355577
level	94	1056654747
level	95	1111110248
level	96	1167788081
level	97	1226755584
level	98	1288081441
level	99	1351835695
level	100	1418089761
level	101	1486916445
level	102	1558389948
level	103	1632585888
level	104	1709581309
level	105	1789454692
level	106	1872285975
level	107	1958156562
level	108	2047149336
level	109	2139348672
level	110	2234840456
level	111	2333712089
level	112	2436052509
level	113	2541952200
level	114	2651503203
level	115	2764799136
level	116	2881935203
level	117	3003008207
level	118	3128116563
level	119	3257360317
level	120	3390841150
level	121	3528662400
level	122	3670929071
level	123	3817747844
level	124	3969227097
level	125	4125476914
level	126	4286609098
level	127	4452737184
level	128	4623976457
level	129	4800443961
level	130	4982258511
level	131	5169540711
level	132	5362412965
level	133	5560999488
level	134	5765426325
level	135	5975821358
level	136	6192314325
level	137	6415036828
level	138	6644122352
level	139	6879706272
level	140	7121925872
level	141	7370920356
level	142	7626830859
level	143	7889800466
level	144	8159974219
level	145	8437499136
level	146	8722524219
level	147	9015200473
level	148	9315680913
level	149	9624120583
level	150	9940676567
level	151	10265508000
level	152	10598776087
level	153	10940644110
level	154	11291277447
level	155	11650843580
level	156	12019512114
level	157	12397454784
level	158	12784845474
level	159	13181860228
level	160	13588677261
level	161	14005476978
level	162	14432441981
level	163	14869757088
level	164	15317609341
level	165	15776188025
level	166	16245684675
level	167	16726293095
level	168	17218209369
level	169	17721631872
level	170	18236761289
level	171	18763800622
level	172	19302955209
level	173	19854432732
level	174	20418443236
level	175	20995199136
level	176	21584915236
level	177	22187808740
level	178	22804099263
level	179	23434008850
level	180	24077761983
level	181	24735585600
level	182	25407709103
level	183	26094364377
level	184	26795785797
level	185	27512210247
level	186	28243877131
level	187	28991028384
level	188	29753908491
level	189	30532764494
level	190	31327846011
level	191	32139405244
level	192	32967696998
level	193	33812978688
level	194	34675510358
level	195	35555554692
level	196	36453377025
level	197	37369245362
level	198	38303430385
level	199	39256205472
level	200	40227846705
level	201	41218632889
level	202	42228845559
level	203	43258768999
level	204	44308690253
level	205	45378899136
level	206	46469688253
level	207	47581353006
level	208	48714191613
level	209	49868505116
level	210	51044597400
level	211	52242775200
level	212	53463348120
level	213	54706628644
level	214	55972932147
level	215	57262576914
level	216	58575884147
level	217	59913177984
level	218	61274785507
level	219	62661036761
level	220	64072264761
level	221	65508805511
level	222	66970998015
level	223	68459184288
level	224	69973709375
level	225	71514921358
level	226	73083171375
level	227	74678813628
level	228	76302205402
level	229	77953707072
level	230	79633682122
level	231	81342497156
level	232	83080521909
level	233	84848129266
level	234	86645695269
level	235	88473599136
level	236	90332223269
level	237	92221953273
level	238	94143177963
level	239	96096289383
level	240	98081682817
level	241	100099756800
level	242	102150913137
level	243	104235556910
level	244	106354096497
level	245	108506943580
level	246	110694513164
level	247	112917223584
level	248	115175496524
level	249	117469757028
level	250	119800433511
level	251	122167957778
level	252	124572765031
level	253	127015293888
level	254	129495986391
level	255	132015288025
level	256	134573647725
level	257	137171517895
level	258	139809354419
level	259	142487616672
level	260	145206767539
level	261	147967273422
level	262	150769604259
level	263	153614233532
level	264	156501638286
level	265	159432299136
level	266	162406700286
level	267	165425329540
level	268	168488678313
level	269	171597241650
level	270	174751518233
level	271	177952010400
level	272	181199224153
level	273	184493669177
level	274	187835858847
level	275	191226310247
